StartDate,EndDate,SubjectType,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,age,sex,race,t00001,t00002,t00003,t00004,t00005,t00006,t00007,t00008,t00009,t00010,t00011,t00012,t00013,t00014,t00015,t00016,t00017,t00018,t00019,t00020,t00021,t00022,t00023,t00024,t00025,t00026,t00027,t00028,t00029,t00030,t00031,t00032,t00033,t00034,t00035,t00036,t00037,t00038,t00039,t00040,t00041,t00042,t00043,t00044,t00045,t00046,t00047,t00048,t00049,t00050,t00051,t00052,t00053,t00054,t00055,t00056,t00057,t00058,t00059,t00060,t00061,t00062,t00063,t00064,t00065,t00066,t00067,t00068,t00069,t00070,t00071,t00072,t00073,t00074,t00075,t00076,t00077,t00078,t00079,t00080,t00081,t00082,t00083,t00084,t00085,t00086,t00087,t00088,t00089,t00090,t00091,t00092,t00093,t00094,t00095,t00096,t00097,t00098,t00099,t00100,t00101,t00102,t00103,t00104,t00105,t00106,t00107,t00108,t00109,t00110,t00111,t00112,t00113,t00114,t00115,t00116,t00117,t00118,t00119,t00120,t00121,t00122,t00123,t00124,t00125,t00126,t00127,t00128,t00129,t00130,t00131,t00132,t00133,t00134,t00135,t00136,t00137,t00138,t00139,t00140,t00141,t00142,t00143,t00144,t00145,t00146,t00147,t00148,t00149,t00150,t00151,t00152,t00153,t00154,t00155,t00156,t00157,t00158,t00159,t00160,t00161,t00162,t00163,t00164,t00165,t00166,t00167,t00168,t00169,t00170,t00171,t00172,t00173,t00174,t00175,t00176,t00177,t00178,t00179,t00180,t00181,t00182,t00183,t00184,t00185,t00186,t00187,t00188,t00189,t00190,t00191,t00192,t00193,t00194,t00195,t00196,t00197,t00198,t00199,t00200,t00201,t00202,t00203,t00204,t00205,t00206,t00207,t00208,t00209,t00210,t00211,t00212,t00213,t00214,t00215,t00216,t00217,t00218,t00219,t00220,t00221,t00222,t00223,t00224,t00225,t00226,t00227,t00228,t00229,t00230,t00231,t00232,t00233,t00234,t00235,t00236,t00237,t00238,t00239,t00240,t00241,t00242,t00243,t00244,t00245,t00246,t00247,t00248,t00249,t00250,t00251,t00252,t00253,t00254,t00255,t00256,t00257,t00258,t00259,t00260,t00261,t00262,t00263,t00264,t00265,t00266,t00267,t00268,t00269,t00270,t00271,t00272,t00273,t00274,t00275,t00276,t00277,t00278,t00279,t00280,t00281,t00282,t00283,t00284,t00285,t00286,t00287,t00288,t00289,t00290,t00291,t00292,t00293,t00294,t00295,t00296,t00297,t00298,t00299,t00300,data_use,mTurkCode
2/12/2017 17:08,2/12/2017 17:44,pilot,0,160.39.16.154,1,2175,0,2/12/2017 21:21,R_3063m96fQd4EtYR,,,,,,,anonymous,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
2/11/2017 16:39,2/12/2017 21:20,pilot,0,67.243.146.32,12,103295,0,2/12/2017 21:21,R_2ARpbxsGfdJarIQ,,,,,,,anonymous,1,,,,,,,,,,,,,,,2,,,,,,,,,2,,,2,,,,,1,,,,,,,,,1,2,,,,,,,,,,,,,,,,,2,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,2,,,,1,,1,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,1,,,,,,,2,,,,,1,2,,,,,,,,,,,,,,,2,1,,,,,,,,,,2,,,,1,1,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
2/12/2017 21:22,2/17/2017 19:36,pilot,0,67.243.146.32,13,425682,0,2/17/2017 19:37,R_3ktFALKg4yHOSWb,,,,,,,anonymous,1,,,,2,,,,1,1,1,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,2,,,,,2,,,,,,1,,,,,1,,,,,1,,,,,1,,1,,,,1,,,,,,,,,,,,2,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,2,,,,,1,,,,,,,,,2,,1,,1,,,2,,,,,,,,,2,,,,,,,2,,,,,,,1,,,,,2,,,,,,,,,,,1,1,,,,,,,,2,,,,,,,1,,,,,,,,,,,,2,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
2/15/2017 22:54,2/15/2017 22:59,pilot,0,68.174.237.172,29,318,0,2/17/2017 19:37,R_1DSRZCHtiJdDerl,,,,,,,anonymous,1,,,2,,2,,,2,2,,,2,1,,,,,2,,,,,,2,2,,,,,,,1,,,,,,2,,,,,2,,,2,,,,,,,,,,,,,1,,,,,2,,,,,,2,,,,,,2,,,,2,,,,,,,,,1,2,2,2,,,,,,,,,,,1,,2,,1,,,,2,,,2,2,,,,,,,,,2,,1,,,,,,,,2,,,,,1,2,1,,2,,,1,1,,,1,,2,,,2,1,,,,1,,,,2,,,,,,,,,,,,,,2,2,,,2,,,,,,,,2,,,1,,,1,2,,1,,2,2,,,,2,,2,,2,2,,2,,,,1,,,,2,,,1,1,,,2,,,2,,,,,1,,,,2,,,,,,2,2,1,,2,,,,,,,,1,2,,2,2,,1,,,1,,,,,,,,,1,2,,,2,,,1,,,2,2,1,,,,,1,,,,2,,,,2,,,
2/12/2017 21:31,2/12/2017 21:32,pilot,0,160.39.16.154,6,36,0,2/17/2017 19:37,R_2VPGVqDThBVS6nl,,,,,,,anonymous,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,2,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/2017 19:38,2/17/2017 19:39,pilot,0,67.243.146.32,100,95,1,2/17/2017 19:39,R_2D1X3kO1Hn2WO0l,,,,,40.80059814,-73.96530151,anonymous,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2/17/2017 19:42,2/17/2017 19:44,pilot,0,67.243.146.32,100,93,1,2/17/2017 19:44,R_AjTqRkHS56fCwLL,,,,,40.80059814,-73.96530151,anonymous,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,
2/19/2017 13:43,2/19/2017 13:46,pilot,0,160.39.16.154,100,149,1,2/19/2017 13:46,R_33kvnaDqjIbnSZi,,,,,40.80059814,-73.96530151,anonymous,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
2/19/2017 18:35,2/19/2017 18:37,pilot,0,67.243.146.32,100,106,1,2/19/2017 18:37,R_2rSjF9qdA5wD6ZE,,,,,40.80059814,-73.96530151,anonymous,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,3,
2/20/2017 9:43,2/20/2017 9:54,pilot,0,68.174.237.172,100,674,1,2/20/2017 9:54,R_1CswEZKwieLH3fR,,,,,40.80220032,-73.95240021,anonymous,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
