StartDate.StartDate,EndDate.EndDate,Status.ResponseType,IPAddress.IPAddress,Progress.Progress,Duration(inseconds).Duration(inseconds),Finished.Finished,RecordedDate.RecordedDate,ResponseId.ResponseID,RecipientLastName.RecipientLastName,RecipientFirstName.RecipientFirstName,RecipientEmail.RecipientEmail,ExternalReference.ExternalDataReference,LocationLatitude.LocationLatitude,LocationLongitude.LocationLongitude,DistributionChannel.DistributionChannel,selected_overall.HowMALEorFEMALEdoesthispersonlook?,unselected_overall.HowMALEorFEMALEdoesthispersonlook?,selected_overall.HowmuchofaWHITEAMERICANorAFRICANAMERICANdoesthispersonlooklike?,unselected_overall.HowmuchofaWHITEAMERICANorAFRICANAMERICANdoesthispersonlooklike?,selected_overall.HowHAPPYdoesthispersonlook?,unselected_overall.HowHAPPYdoesthispersonlook?,selected_overall.HowDOMINANTdoesthispersonlook?,unselected_overall.HowDOMINANTdoesthispersonlook?,selected_overall.HowATTRACTIVEdoesthispersonlook?,unselected_overall.HowATTRACTIVEdoesthispersonlook?,selected_overall.HowLIKABLEdoesthispersonlook?,unselected_overall.HowLIKABLEdoesthispersonlook?,selected_overall.HowTRUSTWORTHYdoesthispersonlook?,unselected_overall.HowTRUSTWORTHYdoesthispersonlook?,selected_overall.HowCOMPETENTdoesthispersonlook?,unselected_overall.HowCOMPETENTdoesthispersonlook?,selected_overall.HowWARMdoesthispersonlook?,unselected_overall.HowWARMdoesthispersonlook?,age,sex,race,data_use,mTurkCode
3/12/201712:10:20PM,3/12/201712:12:21PM,0,75.109.214.186,100,120,1,3/12/201712:12:22PM,R_6D3ot62oGiUhc7T,,,,,30.56700134,-96.28369904,anonymous,,,,,,,,,,,2,1,,,,,,,28,2,1,4,4946534080
3/12/201712:14:06PM,3/12/201712:15:59PM,0,24.22.3.83,100,113,1,3/12/201712:16:00PM,R_2veHlrwFprlYPDR,,,,,44.06900024,-123.0825043,anonymous,,,,,,,,,,,3,3,,,,,,,27,2,1,4,5191403488
3/12/201712:17:06PM,3/12/201712:19:01PM,0,24.63.127.35,100,114,1,3/12/201712:19:03PM,R_3KQ5kZXJt7h20Zp,,,,,41.87339783,-70.63939667,anonymous,,,4,4,,,,,,,,,,,,,,,43,2,1,4,6644172869
3/12/201712:19:40PM,3/12/201712:21:38PM,0,99.104.150.42,100,118,1,3/12/201712:21:40PM,R_1rNeCA5owrVvxTc,,,,,33.27009583,-117.2844009,anonymous,,,,,,,,,,,,,3,2,,,,,24,2,1,4,9366340087
3/12/201712:22:28PM,3/12/201712:26:09PM,0,209.94.253.190,100,220,1,3/12/201712:26:10PM,R_10ufJJJF9vlu9Sd,,,,,30.22569275,-98.12680054,anonymous,,,,,,,,,,,,,3,4,,,,,25,2,3,4,8117997218
3/12/201712:26:19PM,3/12/201712:27:35PM,0,108.45.134.123,100,75,1,3/12/201712:27:36PM,R_2E3IEsAHdJfqQZz,,,,,38.62590027,-76.97789764,anonymous,2,4,,,,,,,,,,,,,,,,,24,1,2,3,7461729604
3/12/201712:26:11PM,3/12/201712:27:38PM,0,24.46.112.201,100,87,1,3/12/201712:27:39PM,R_2YS4Qkro4stjriK,,,,,40.67599487,-73.92060089,anonymous,,,,,,,6,4,,,,,,,,,,,18,2,2,4,4426905834
3/12/201712:26:12PM,3/12/201712:28:07PM,0,32.213.125.193,100,115,1,3/12/201712:28:08PM,R_2c0LfPFmChOIuGR,,,,,41.38459778,-73.09429932,anonymous,,,,,,,4,3,,,,,,,,,,,47,2,1,4,8718153857
3/12/201712:27:25PM,3/12/201712:28:54PM,0,76.187.74.58,100,89,1,3/12/201712:28:56PM,R_1k04oDuiPHDsthA,,,,,33.14990234,-96.85549927,anonymous,,,,,,,,,5,1,,,,,,,,,30,1,3,4,4960969733
3/12/201712:28:02PM,3/12/201712:29:48PM,0,72.177.52.194,100,106,1,3/12/201712:29:49PM,R_aarkQFS9wcjQaHL,,,,,30.29660034,-97.76629639,anonymous,2,3,,,,,,,,,,,,,,,,,25,1,1,4,1242001532
